-1.#QNAN -1.#QNAN -1.#QNAN 1.70081e-040 9.47362e-041 0.00797839 0.00303519
-0.00292093 -0.0433246 0.00160005 -0.0559426 0.00420471 0.00797839 0.00303519
-0.00292093 -0.0433246 0.00160005 -0.0559426 0.00420471 0.00797839 0.00303519
-0.00292093 -0.0433246 0.00160005 -0.0559426 0.00420471 0.00797839 0.00303519
-0.00292093 -0.0433246 0.00160005 -0.0559426 0.00420471 0.00797839 0.00303519
-0.00133693 -0.0425326 0.00160005 -0.0564926 0.00420471 0.0081984 0.00312319
-0.00148093 -0.0426046 0.00160005 -0.0564426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0564426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0564426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0396426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0802426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0476926 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0408926 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0634426 0.00420471 0.0081784 0.00311519
-0.00148093 -0.0426046 0.00160005 -0.0546926 0.00420471 0.0081784 0.00311519
-0.0447692 -0.0586561 0.0127587 -0.0413366 0.00465251 0.000410517 0.00376687
-0.0446972 -0.0588721 0.0127907 -0.0580866 0.00464051 0.000430517 0.00375487
-0.0258452 -0.0595921 0.0131107 -0.0337866 0.00464051 0.000230517 0.00375487
-0.0558572 -0.0603121 7.86567e-005 -0.0420366 0.00464051 3.05174e-005 0.00379887
-0.0467972 -0.0610321 0.0194307 -0.0402866 0.00464051 -0.000169483 0.00379487
-0.0294452 -0.0617521 -0.000601344 -0.0565866 0.00464051 -0.000369483 0.00379487
-0.0602492 -0.0616801 0.0197507 -0.0322866 0.00464051 0.00777552 0.00379487
-0.0308252 -0.0624721 -0.000281343 -0.0405366 0.00464051 -0.00431948 0.00383887
-0.0420452 -0.0631921 0.00671866 -0.0561366 0.00464051 -0.000144483 0.00383487
-0.0412652 -0.0639121 0.00571866 -0.0317866 0.00477251 -0.000969483 0.00383487
-0.070613 -0.0759986 0.0266231 -0.0469159 0.00497513 -0.00611657 0.0042632
-0.071837 -0.0762866 0.0073671 -0.0217159 0.00497513 -0.00639657 0.0042992
-0.052913 -0.0567146 0.0147191 -0.0462159 0.00497513 0.00154843 0.0042952
-0.083717 -0.0867986 0.0140391 -0.0207159 0.00510713 -0.0107466 0.0043392
